Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Legal secretary,Healthcare,Increasing,high,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76
"Surveyor, insurance",Manufacturing,Decreasing,high,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14
Dentist,Entertainment,Decreasing,high,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27
Emergency planning/management officer,Education,Increasing,high,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56
Housing manager/officer,Entertainment,Decreasing,high,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9
Town planner,Retail,Decreasing,high,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,high,142660.31,Master’s Degree,2,2377,7307,4.29,16.88,India,56.57
Music therapist,Education,Increasing,high,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19
Advertising copywriter,Retail,Decreasing,high,122668.89,Bachelor’s Degree,14,7291,7469,65.94,7.14,Brazil,74.45
Ceramics designer,Transportation,Increasing,high,73318.63,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69
Charity fundraiser,Education,Increasing,high,41523.13,Bachelor’s Degree,2,7568,9624,23.23,63.1,India,38.94
Jewellery designer,Retail,Increasing,high,62229.93,High School,15,3369,3297,87.85,21.83,Canada,43.89
Operations geologist,Entertainment,Increasing,high,142549.39,High School,5,7635,3586,8.59,70.67,USA,26.25
Tour manager,Finance,Increasing,high,121435.0,Associate Degree,5,6840,6963,1.36,93.49,UK,26.05
Contracting civil engineer,Finance,Increasing,high,38486.99,PhD,12,9860,1304,17.25,72.21,Canada,55.07
Surgeon,Healthcare,Increasing,high,35799.45,PhD,2,6281,447,55.15,87.52,Brazil,37.04
"Engineer, structural",Education,Increasing,high,77792.33,Bachelor’s Degree,7,7836,6700,71.9,36.73,Australia,63.61
Trade union research officer,IT,Decreasing,high,82029.69,Master’s Degree,8,3144,3121,55.22,98.23,Brazil,60.82
Primary school teacher,Manufacturing,Decreasing,high,137071.8,High School,0,1171,8644,74.87,52.54,India,60.76
Archivist,Finance,Decreasing,high,33072.25,Master’s Degree,7,2569,1514,83.28,83.87,Germany,52.41
Tourist information centre manager,Retail,Increasing,high,46195.73,Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46
General practice doctor,Transportation,Increasing,high,94118.58,PhD,0,4069,5391,99.88,21.59,USA,37.47
"Lighting technician, broadcasting/film/video",Education,Decreasing,high,76301.45,Bachelor’s Degree,5,9510,9086,86.47,57.29,China,43.21
Herbalist,Manufacturing,Increasing,high,106276.67,Master’s Degree,11,813,2546,95.92,50.01,India,64.31
Site engineer,Education,Decreasing,high,87311.09,Master’s Degree,17,4517,3138,15.96,86.18,Australia,51.11
Cabin crew,Retail,Decreasing,high,93530.19,Associate Degree,15,4742,4747,92.46,19.9,UK,53.04
Database administrator,Entertainment,Decreasing,high,61072.12,Bachelor’s Degree,17,5028,7954,13.43,23.69,Brazil,59.66
"Teacher, music",Manufacturing,Decreasing,high,147474.55,PhD,17,3722,8025,95.69,54.06,Canada,66.61
Architectural technologist,Education,Increasing,high,112692.04,High School,16,2870,9159,51.62,50.77,China,20.36
"Investment banker, operational",Education,Increasing,high,48522.58,PhD,2,3494,1524,89.76,88.44,UK,40.62
"Librarian, public",Education,Increasing,high,145028.73,High School,4,7767,669,48.68,94.53,Germany,60.52
Microbiologist,Finance,Increasing,high,49354.81,High School,13,7779,2602,15.01,5.23,Brazil,47.94
