Geographic Area,"Unnamed: 1_level_0_April 1, 2020 Estimates Base",2020,2021,2022,2023,2024,county_share,county_jobs_risk,cost_county
"Alameda County, California","1,682,296","1,680,614","1,643,856","1,635,693","1,638,142",1649060.0,0.04182113060897897,303000.2556967044,2757302326.8400097
"Alpine County, California","1,176","1,179","1,203","1,169","1,126",1099.0,2.7871285786610486e-05,201.9315737515179,1837577.321138813
"Amador County, California","40,497","40,584","41,245","41,486","41,798",42026.0,0.0010658040550210121,7721.907478144943,70269358.05111898
"Butte County, California","211,632","210,222","206,351","207,384","207,354",208334.0,0.005283472659752238,38279.53820377501,348343797.6543526
"Calaveras County, California","45,284","45,350","46,262","46,544","46,580",46505.0,0.0011793941269393274,8544.884292369738,77758447.0605646
"Colusa County, California","21,837","21,868","21,931","21,952","22,093",22074.0,0.0005598096109678252,4055.90314739855,36908718.64132681
"Contra Costa County, California","1,165,983","1,166,165","1,163,813","1,160,296","1,162,179",1172607.0,0.029738002559035453,215456.21192178904,1960651528.4882803
"Del Norte County, California","27,742","27,616","27,581","26,758","26,571",27009.0,0.0006849641108376366,4962.6659467286145,45160260.11523039
"El Dorado County, California","191,185","191,250","193,724","193,071","192,440",192823.0,0.004890104585288074,35429.52852182797,322408709.5486345
"Fresno County, California","1,008,649","1,009,613","1,012,879","1,017,107","1,019,899",1024125.0,0.025972411789092324,188173.95174547157,1712382960.8837912
"Glenn County, California","28,919","28,889","28,714","28,371","28,190",28304.0,0.0007178060717963814,5200.6107947797655,47325558.23249587
"Humboldt County, California","136,467","136,324","134,978","135,013","134,009",132380.0,0.0033572345881997235,24323.659447885297,221345300.97575617
"Imperial County, California","179,710","179,730","179,206","179,767","180,585",181724.0,0.00460862742337216,33390.1849940135,303850683.44552284
"Inyo County, California","19,024","18,999","18,920","18,745","18,548",18485.0,0.0004687904620250181,3396.4559970853584,30907749.57347676
"Kern County, California","909,233","906,124","912,782","917,293","916,646",922529.0,0.02339587752996905,169506.58125697367,1542509889.4384606
"Kings County, California","152,484","152,797","152,724","152,776","153,281",154913.0,0.003928684708881884,28463.899803975335,259021488.21617556
"Lake County, California","68,164","68,200","68,623","68,239","67,934",67764.0,0.0017185348590026143,12451.038365512157,113304449.12616064
"Lassen County, California","32,733","32,319","31,884","30,401","28,838",28340.0,0.0007187190529504469,5207.225477814392,47385751.848110974
"Los Angeles County, California","10,017,401","9,996,634","9,809,239","9,748,447","9,731,837",9757179.0,0.24744779288454444,1792795.7332531954,16314441172.604076
"Madera County, California","156,254","156,434","159,019","160,414","163,402",165432.0,0.004195452729982298,30396.67343845415,276609728.2899327
"Marin County, California","262,325","261,341","259,254","257,143","255,706",256400.0,0.006502454663955349,47111.24250217397,428712306.7697831
"Mariposa County, California","17,128","17,133","17,136","17,095","16,996",17048.0,0.0004323472976252371,3132.4198992865126,28505021.083507266
"Mendocino County, California","91,587","91,362","91,303","90,027","89,354",89175.0,0.0022615304003830664,16385.121100356333,149104602.01324263
"Merced County, California","282,447","282,963","284,834","292,034","294,402",296774.0,0.007526363028239801,54529.609525507716,496219446.68212026
"Modoc County, California","8,699","8,677","8,640","8,625","8,566",8491.0,0.00021533674942139186,1560.1464901948486,14197333.060773123
"Mono County, California","13,196","13,225","13,263","13,055","13,207",12991.0,0.00032945939367957856,2386.9818695231747,21721535.01266089
"Monterey County, California","441,012","440,506","439,245","436,427","435,637",436251.0,0.011063581706728491,80157.28023719149,729431250.1584425
"Napa County, California","138,014","137,465","136,219","134,492","133,444",132727.0,0.0033660347121014103,24387.417642691278,221925500.54849064
"Nevada County, California","102,236","102,267","103,499","102,356","102,086",102195.0,0.00259172525110342,18777.43146454629,170874626.32737124
"Orange County, California","3,187,256","3,186,261","3,159,351","3,158,489","3,154,563",3170435.0,0.08040409458860093,582539.5168579561,5301109603.4074
"Placer County, California","404,752","405,951","412,968","418,439","424,599",433822.0,0.011001980839416683,79710.9728735496,725369853.1493014
"Plumas County, California","19,800","19,761","19,965","19,433","19,120",18834.0,0.00047764130710193075,3460.581674282155,31491293.23596761
"Riverside County, California","2,419,967","2,424,663","2,455,225","2,479,628","2,503,549",2529933.0,0.06416058750134379,464852.9137178334,4230161514.832284
"Sacramento County, California","1,585,030","1,586,727","1,588,824","1,588,743","1,594,506",1611231.0,0.04086176494016943,296049.5100156797,2694050541.142685
"San Benito County, California","64,209","64,533","66,703","67,715","68,341",69159.0,0.0017539128787226522,12707.357333103939,115636951.73124585
"San Bernardino County, California","2,181,664","2,183,526","2,190,877","2,196,029","2,200,805",2214281.0,0.056155467300147095,406854.6379054457,3702377204.9395556
"San Diego County, California","3,298,647","3,301,182","3,274,244","3,283,755","3,285,890",3298799.0,0.08365948105694712,606125.2716650896,5515739972.152316
"San Francisco County, California","878,392","874,826","815,498","814,176","819,151",827526.0,0.020986545624977825,152050.61646978944,1383660609.875084
"San Joaquin County, California","779,232","780,676","788,096","795,880","805,909",816108.0,0.020696978435613387,149952.65950064038,1364569201.4558275
"San Luis Obispo County, California","282,448","281,924","279,468","282,535","282,007",281843.0,0.007147704094591137,51786.16973689633,471254144.6057566
"San Mateo County, California","764,659","762,727","739,330","732,485","734,267",742893.0,0.01884020301353269,136500.0478789685,1242150435.6986134
"Santa Barbara County, California","448,217","448,083","437,117","445,286","443,521",444500.0,0.011272781193947553,81672.96135809801,743223948.3586918
"Santa Clara County, California","1,936,278","1,924,802","1,878,320","1,883,653","1,897,137",1926325.0,0.04885273393347812,353945.25824103074,3220901849.9933796
"Santa Cruz County, California","272,140","271,768","260,904","265,851","263,699",262406.0,0.006654770353158609,48214.79212178417,438754608.308236
"Shasta County, California","182,452","182,190","182,243","180,972","180,656",181121.0,0.004593334989041563,33279.389053183506,302842440.3839699
"Sierra County, California","3,235","3,229","3,298","3,215","3,180",3113.0,7.894750923905227e-05,571.9863412997955,5205075.70582814
"Siskiyou County, California","44,079","43,999","44,144","43,746","42,941",42498.0,0.0010777742523743153,7808.633322376714,71058563.2336281
"Solano County, California","453,551","452,887","450,819","449,724","451,060",455101.0,0.011541628783232229,83620.80177060014,760949296.1124613
"Sonoma County, California","488,862","488,501","484,561","483,398","483,366",485375.0,0.012309395212626082,89183.38272033031,811568782.7550057
"Stanislaus County, California","553,285","553,710","552,939","552,410","553,921",556972.0,0.01412513720394906,102338.7010878348,931282179.8992966
"Sutter County, California","99,635","99,479","99,121","98,682","98,457",98545.0,0.0024991591063162244,18106.776101313317,164771662.52195117
"Tehama County, California","65,905","65,690","65,467","65,269","64,959",64451.0,0.0016345152322409758,11842.303785131102,107764964.44469303
"Trinity County, California","16,116","16,095","16,102","15,777","15,684",15642.0,0.000396690311441457,2874.079778545262,26154125.984761886
"Tulare County, California","473,121","473,944","476,939","478,288","480,747",483546.0,0.012263010697882033,88847.32007393219,808510612.6727829
"Tuolumne County, California","55,623","55,397","55,126","53,951","54,123",53893.0,0.001366758148223657,9902.364244031442,90111514.62068611
"Ventura County, California","844,363","843,808","840,009","835,032","833,071",835427.0,0.02118691962770759,153502.3556546946,1396871436.457721
"Yolo County, California","217,867","217,768","213,545","223,338","222,919",225251.0,0.005712497720400181,41387.8880064633,376629780.85881597
"Yuba County, California","81,575","82,001","83,035","84,335","85,695",87469.0,0.0022182652379154075,16071.658620993196,146252093.4510381
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-06)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: March 2025,,,,,,,,,
